,103R,103S,137R,137S,155R,155S,173R,173S,189R,189S,197R,197S,200R,200S,202R,202S,211R,211S,212R,212S,216R,216S,219R,219S,220R,220S,222R,222S,226R,226S,231R,231S,236R,236S,240R,240S,246R,246S,254R,254S,257R,257S,260R,260S,265R,265S,275R,275S,279R,279S,283R,283S,298R,298S,40R,40S,70R,70S,72R,72S,76R,76S,80R,80S,87R,87S
254R,0.0132655,0.0132643,0.17682,0.176839,0.176611,0.176611,0.180691,0.180711,0.0331648,0.0329239,0.174426,0.174408,0.0305559,0.0305539,0.18366,0.18366,0.0146044,0.0145721,0.364905,0.364905,0.362921,0.362921,0.139975,0.13989,0.00406595,0.00406095,0.0161225,0.0161208,0.0158493,0.0158425,0.176384,0.176611,0.364905,0.364905,0.0308645,0.0308506,0.362921,0.362921,0.0,7.733e-05,0.0150905,0.0151038,0.189304,0.189279,0.359186,0.359186,0.0344425,0.0344397,0.364905,0.364905,0.0158507,0.0158466,0.0153444,0.0153486,0.188465,0.18849,0.0321405,0.0321452,0.0162593,0.0162638,0.032086,0.0320865,0.184461,0.184483,0.00286716,0.00287155
254S,0.013285,0.0132835,0.17682,0.176877,0.17663,0.176649,0.180732,0.180732,0.0331939,0.0329474,0.174481,0.174426,0.0305849,0.0305785,0.183726,0.183726,0.0146196,0.0145912,0.364905,0.364905,0.362921,0.362921,0.139984,0.139882,0.00409375,0.00408752,0.0161463,0.0161493,0.0158712,0.0158671,0.176403,0.176706,0.364905,0.364905,0.0308904,0.0308735,0.362921,0.362921,7.733e-05,0.0,0.0151178,0.0151191,0.189304,0.189304,0.359186,0.359186,0.0344706,0.0344712,0.364905,0.364905,0.015874,0.0158636,0.0153666,0.0153716,0.188514,0.188514,0.0321629,0.0321733,0.0162852,0.0162844,0.0321125,0.0321088,0.184483,0.184506,0.0028948,0.00289735
257R,0.0158753,0.0158805,0.174808,0.174844,0.179124,0.179104,0.178824,0.178884,0.0321852,0.0319118,0.175747,0.175673,0.0296497,0.0296487,0.18197,0.18197,0.00209513,0.002067,0.363903,0.363903,0.359186,0.359186,0.149126,0.149073,0.0147018,0.0146979,0.00722819,0.00722116,0.00719287,0.00718478,0.174481,0.174699,0.363903,0.363903,0.0293698,0.0293566,0.359186,0.359186,0.0150905,0.0151178,0.0,0.00012225,0.187641,0.187689,0.356564,0.356564,0.0332819,0.0332846,0.361017,0.361017,0.00718568,0.00718658,0.00652356,0.00652947,0.187235,0.187258,0.0321452,0.0321514,0.00675974,0.00675921,0.0320917,0.0320943,0.182873,0.182916,0.0152047,0.0152076
257S,0.0158805,0.0158882,0.17479,0.174808,0.179084,0.179064,0.178824,0.178864,0.0321884,0.0319185,0.17571,0.175654,0.0296672,0.0296653,0.181992,0.18197,0.00209865,0.00207105,0.363903,0.363903,0.359186,0.359186,0.149115,0.149063,0.0147041,0.0146992,0.00723504,0.00722765,0.00719287,0.00718765,0.174445,0.17468,0.363903,0.363903,0.0293754,0.0293618,0.359186,0.359186,0.0151038,0.0151191,0.00012225,0.0,0.187689,0.187713,0.356564,0.356564,0.0332916,0.0332938,0.361017,0.361017,0.00719089,0.00718765,0.00652565,0.00653208,0.187258,0.187258,0.032153,0.0321618,0.00676291,0.00676361,0.0321026,0.0321016,0.182851,0.182894,0.0152124,0.0152114
260R,0.188759,0.188759,0.0533615,0.0533523,0.173072,0.173054,0.170692,0.170742,0.183199,0.183265,0.053934,0.0539444,0.187954,0.18793,0.169441,0.169408,0.188003,0.187954,0.314682,0.314682,0.314682,0.314682,0.17571,0.175654,0.188858,0.188809,0.189204,0.189204,0.18913,0.189155,0.0538862,0.0539049,0.315036,0.315036,0.187163,0.187116,0.311943,0.311943,0.189304,0.189304,0.187641,0.187689,0.0,7.924e-05,0.311943,0.311943,0.186455,0.186432,0.315036,0.315036,0.18913,0.189105,0.188883,0.188907,0.122984,0.123013,0.186572,0.186572,0.189031,0.189031,0.186549,0.186549,0.176687,0.176668,0.188465,0.188539
260S,0.188735,0.188759,0.0533625,0.0533615,0.173037,0.173037,0.170659,0.170692,0.183177,0.183243,0.0539236,0.053934,0.187979,0.187954,0.169425,0.169408,0.188027,0.187979,0.314682,0.314682,0.314682,0.314682,0.17571,0.175673,0.188858,0.188784,0.189254,0.189254,0.189155,0.189204,0.0538852,0.0539049,0.315036,0.315036,0.187139,0.187139,0.311943,0.311943,0.189279,0.189304,0.187689,0.187713,7.924e-05,0.0,0.311943,0.311943,0.186479,0.186432,0.315036,0.315036,0.189204,0.189204,0.188907,0.188932,0.122984,0.123031,0.186572,0.186572,0.189031,0.18908,0.186572,0.186549,0.176649,0.17663,0.188441,0.18849
265R,0.355722,0.355722,0.317965,0.317965,0.333979,0.333979,0.333979,0.333979,0.350208,0.350208,0.318345,0.318345,0.355722,0.355722,0.328491,0.328491,0.355722,0.355722,0.0129336,0.012932,0.0129092,0.0128975,0.350208,0.350208,0.358296,0.358296,0.359186,0.359186,0.358296,0.358296,0.319112,0.319501,0.0127511,0.0127606,0.364905,0.364905,0.00696279,0.00696831,0.359186,0.359186,0.356564,0.356564,0.311943,0.311943,0.0,6.035e-05,0.35328,0.35328,0.0122646,0.0122495,0.358296,0.358296,0.358296,0.358296,0.321087,0.321087,0.355722,0.355722,0.358296,0.358296,0.355722,0.355722,0.345267,0.345267,0.357422,0.357422
265S,0.355722,0.355722,0.317965,0.317965,0.333979,0.333979,0.333979,0.333979,0.350208,0.350208,0.318345,0.318345,0.355722,0.355722,0.328491,0.328491,0.355722,0.355722,0.0129085,0.012909,0.0128901,0.012872,0.350208,0.350208,0.358296,0.358296,0.359186,0.359186,0.358296,0.359186,0.319501,0.319501,0.0127245,0.0127345,0.364905,0.364905,0.00694058,0.00694448,0.359186,0.359186,0.356564,0.356564,0.311943,0.311943,6.035e-05,0.0,0.35328,0.35328,0.0122416,0.0122268,0.358296,0.358296,0.358296,0.358296,0.321087,0.321087,0.355722,0.355722,0.358296,0.358296,0.355722,0.355722,0.345267,0.345267,0.357422,0.357422
275R,0.0325783,0.0325772,0.187641,0.187641,0.174012,0.173976,0.180217,0.180258,0.0110097,0.0111306,0.185597,0.18562,0.0277393,0.0277327,0.181547,0.181526,0.0326798,0.0326538,0.362921,0.362921,0.360092,0.360092,0.151252,0.15111,0.0336959,0.0336981,0.0340587,0.0340593,0.0338975,0.0338947,0.185413,0.185436,0.362921,0.362921,0.0276982,0.0276898,0.356564,0.356564,0.0344425,0.0344706,0.0332819,0.0332916,0.186455,0.186479,0.35328,0.35328,0.0,4.888e-05,0.360092,0.360092,0.0339019,0.0338936,0.0337454,0.0337459,0.186082,0.186082,0.0139956,0.0139971,0.0333566,0.0333561,0.0139488,0.0139453,0.182548,0.182613,0.034061,0.0340665
275S,0.0325756,0.0325814,0.187593,0.187617,0.173976,0.173941,0.180176,0.180217,0.0110108,0.0111316,0.185574,0.185574,0.0277376,0.0277349,0.181526,0.181547,0.0326787,0.0326512,0.362921,0.362921,0.360092,0.360092,0.15123,0.151088,0.0336948,0.0336976,0.0340571,0.0340643,0.0338986,0.0338991,0.185367,0.18539,0.362921,0.362921,0.027703,0.027696,0.356564,0.356564,0.0344397,0.0344712,0.0332846,0.0332938,0.186432,0.186432,0.35328,0.35328,4.888e-05,0.0,0.360092,0.360092,0.0339041,0.0338969,0.033747,0.0337481,0.186036,0.186036,0.0139956,0.0139988,0.0333615,0.0333583,0.0139501,0.0139488,0.182591,0.182656,0.0340543,0.0340671
279R,0.361017,0.361017,0.316478,0.316478,0.337263,0.337263,0.338994,0.338994,0.356564,0.356564,0.317965,0.317965,0.361017,0.361017,0.330907,0.330907,0.361017,0.361017,0.0111655,0.011169,0.0108483,0.0108336,0.35328,0.35328,0.363903,0.363903,0.363903,0.363903,0.363903,0.363903,0.318345,0.318345,0.0112091,0.0112226,0.368046,0.368046,0.0125285,0.0125327,0.364905,0.364905,0.361017,0.361017,0.315036,0.315036,0.0122646,0.0122416,0.360092,0.360092,0.0,4.924e-05,0.363903,0.363903,0.363903,0.363903,0.323148,0.323148,0.362921,0.362921,0.362921,0.362921,0.362921,0.362921,0.345942,0.345942,0.363903,0.363903
279S,0.361017,0.361017,0.316478,0.316478,0.337263,0.337263,0.338994,0.338994,0.356564,0.356564,0.317965,0.317965,0.361017,0.361017,0.330907,0.330907,0.361017,0.361017,0.0111563,0.0111593,0.0108401,0.0108282,0.35328,0.35328,0.363903,0.363903,0.363903,0.363903,0.363903,0.363903,0.318345,0.318345,0.0111972,0.0112093,0.368046,0.368046,0.0125177,0.0125233,0.364905,0.364905,0.361017,0.361017,0.315036,0.315036,0.0122495,0.0122268,0.360092,0.360092,4.924e-05,0.0,0.363903,0.363903,0.363903,0.363903,0.323148,0.323148,0.362921,0.362921,0.362921,0.362921,0.362921,0.362921,0.345942,0.345942,0.363903,0.363903
283R,0.0161546,0.0161524,0.176159,0.176234,0.178488,0.178468,0.181253,0.181295,0.0329742,0.0326846,0.173637,0.173584,0.028847,0.0288456,0.18397,0.183948,0.00616176,0.00613247,0.362921,0.362921,0.359186,0.359186,0.150064,0.15,0.0151482,0.0151419,0.00284521,0.002838,6.788e-05,6.25e-05,0.173798,0.174012,0.36196,0.36196,0.0311917,0.0311676,0.36196,0.36196,0.0158507,0.015874,0.00718568,0.00719089,0.18913,0.189204,0.358296,0.358296,0.0339019,0.0339041,0.363903,0.363903,0.0,6.633e-05,0.00230116,0.00230335,0.188833,0.188858,0.0321483,0.0321509,0.00313007,0.00312661,0.0320938,0.0320927,0.185003,0.185048,0.0157446,0.0157498
283S,0.0161419,0.0161463,0.17614,0.176196,0.178488,0.178468,0.181253,0.181295,0.032971,0.0326793,0.173637,0.173566,0.0288419,0.0288419,0.183992,0.18397,0.00616022,0.00613349,0.362921,0.362921,0.359186,0.359186,0.150054,0.14999,0.0151495,0.0151416,0.00284224,0.00283715,7.004e-05,6.155e-05,0.17378,0.174012,0.36196,0.36196,0.0311806,0.0311611,0.36196,0.36196,0.0158466,0.0158636,0.00718658,0.00718765,0.189105,0.189204,0.358296,0.358296,0.0338936,0.0338969,0.363903,0.363903,6.633e-05,0.0,0.00229622,0.00229499,0.188809,0.188833,0.0321436,0.0321447,0.00312776,0.00312834,0.0320907,0.0320896,0.185003,0.185048,0.0157386,0.0157424
298R,0.0157996,0.0158024,0.175952,0.176009,0.178389,0.178369,0.180176,0.180196,0.0329058,0.0325915,0.173072,0.173019,0.0292833,0.0292749,0.18377,0.183748,0.00564546,0.00561616,0.362921,0.362921,0.360092,0.360092,0.150353,0.150299,0.0152098,0.0152045,0.00208687,0.00207254,0.00229759,0.00229513,0.173637,0.173923,0.362921,0.362921,0.0307847,0.0307679,0.36196,0.36196,0.0153444,0.0153666,0.00652356,0.00652565,0.188883,0.188907,0.358296,0.358296,0.0337454,0.033747,0.363903,0.363903,0.00230116,0.00229622,0.0,6.179e-05,0.188637,0.188661,0.0324356,0.0324367,0.0020724,0.00208214,0.0323826,0.032379,0.184889,0.184935,0.015636,0.015633
298S,0.015804,0.01581,0.175971,0.175971,0.178389,0.178369,0.180176,0.180196,0.0329063,0.0325878,0.173002,0.173002,0.0292805,0.0292805,0.18377,0.183748,0.0056554,0.00562228,0.362921,0.362921,0.360092,0.360092,0.150353,0.150289,0.0152185,0.0152079,0.00208985,0.00208092,0.00230143,0.00229664,0.173637,0.173905,0.362921,0.362921,0.0307882,0.0307778,0.36196,0.36196,0.0153486,0.0153716,0.00652947,0.00653208,0.188907,0.188932,0.358296,0.358296,0.0337459,0.0337481,0.363903,0.363903,0.00230335,0.00229499,6.179e-05,0.0,0.188637,0.188661,0.0324367,0.0324425,0.00207795,0.00207889,0.0323816,0.0323832,0.184889,0.184935,0.0156357,0.015639
40R,0.188003,0.188003,0.118632,0.118617,0.171466,0.171466,0.173389,0.173424,0.185804,0.185943,0.118128,0.118139,0.186761,0.186784,0.172392,0.172374,0.187617,0.187521,0.325744,0.325744,0.325302,0.325302,0.171162,0.171128,0.188173,0.188124,0.188907,0.188883,0.188833,0.188833,0.117977,0.117987,0.326191,0.326191,0.185367,0.185367,0.321901,0.321901,0.188465,0.188514,0.187235,0.187258,0.122984,0.122984,0.321087,0.321087,0.186082,0.186036,0.323148,0.323148,0.188833,0.188809,0.188637,0.188637,0.0,0.0001093,0.187116,0.187116,0.188637,0.188588,0.187211,0.187187,0.176801,0.17682,0.187858,0.18793
40S,0.188003,0.188027,0.118654,0.118643,0.171449,0.171432,0.173336,0.173389,0.185804,0.185943,0.11817,0.118159,0.186761,0.186761,0.172392,0.172392,0.187641,0.187545,0.325744,0.325744,0.325302,0.325302,0.171212,0.171179,0.188173,0.188148,0.188932,0.188907,0.188833,0.188858,0.117987,0.118008,0.326191,0.326191,0.185344,0.185367,0.321901,0.321901,0.18849,0.188514,0.187258,0.187258,0.123013,0.123031,0.321087,0.321087,0.186082,0.186036,0.323148,0.323148,0.188858,0.188833,0.188661,0.188661,0.0001093,0.0,0.187163,0.187139,0.188637,0.188612,0.187211,0.187187,0.176763,0.176782,0.187882,0.18793
70R,0.0310304,0.0310324,0.172774,0.172826,0.172098,0.172081,0.179304,0.179344,0.0127808,0.0127805,0.17316,0.173124,0.0266305,0.0266314,0.182484,0.182441,0.0319406,0.0319076,0.35408,0.35408,0.355722,0.355722,0.152617,0.152516,0.0314096,0.031403,0.0327063,0.0327042,0.0321467,0.0321436,0.174936,0.175045,0.35408,0.35408,0.0265698,0.0265605,0.359186,0.359186,0.0321405,0.0321629,0.0321452,0.032153,0.186572,0.186572,0.355722,0.355722,0.0139956,0.0139956,0.362921,0.362921,0.0321483,0.0321436,0.0324356,0.0324367,0.187116,0.187163,0.0,5.748e-05,0.032242,0.0322332,8.056e-05,8.008e-05,0.183155,0.183199,0.032167,0.0321821
70S,0.0310374,0.0310344,0.172809,0.172861,0.172098,0.172081,0.179304,0.179344,0.0127877,0.0127843,0.173248,0.173177,0.0266356,0.0266284,0.182484,0.182462,0.0319458,0.0319169,0.35408,0.35408,0.355722,0.355722,0.15264,0.152538,0.0314136,0.0314106,0.0327042,0.0327068,0.0321478,0.0321441,0.174991,0.175119,0.35408,0.35408,0.0265826,0.0265681,0.359186,0.359186,0.0321452,0.0321733,0.0321514,0.0321618,0.186572,0.186572,0.355722,0.355722,0.0139971,0.0139988,0.362921,0.362921,0.0321509,0.0321447,0.0324367,0.0324425,0.187116,0.187139,5.748e-05,0.0,0.0322384,0.0322363,8.798e-05,8.846e-05,0.183155,0.183199,0.0321748,0.0321863
72R,0.0160484,0.0160548,0.17584,0.175859,0.173833,0.173815,0.179284,0.179244,0.0328759,0.0327801,0.175211,0.175211,0.0297945,0.0297912,0.18355,0.183572,0.00594764,0.00592088,0.362921,0.362921,0.360092,0.360092,0.150589,0.150525,0.0153064,0.0153019,0.00281596,0.00279958,0.00312748,0.0031246,0.176744,0.176916,0.362921,0.362921,0.0312239,0.0312078,0.362921,0.362921,0.0162593,0.0162852,0.00675974,0.00676291,0.189031,0.189031,0.358296,0.358296,0.0333566,0.0333615,0.362921,0.362921,0.00313007,0.00312776,0.0020724,0.00207795,0.188637,0.188637,0.032242,0.0322384,0.0,7.41e-05,0.0321831,0.0321857,0.184708,0.184731,0.016246,0.0162409
72S,0.0160493,0.0160495,0.17584,0.175859,0.173851,0.173815,0.179284,0.179264,0.0328652,0.0327721,0.175211,0.175192,0.0297935,0.0297964,0.183616,0.183594,0.00594814,0.00592037,0.362921,0.362921,0.360092,0.360092,0.150589,0.150514,0.0153043,0.0152984,0.00281243,0.00280396,0.00312532,0.00312474,0.176725,0.176897,0.362921,0.362921,0.0312128,0.0311952,0.362921,0.362921,0.0162638,0.0162844,0.00675921,0.00676361,0.189031,0.18908,0.358296,0.358296,0.0333561,0.0333583,0.362921,0.362921,0.00312661,0.00312834,0.00208214,0.00207889,0.188588,0.188612,0.0322332,0.0322363,7.41e-05,0.0,0.0321816,0.0321837,0.184708,0.184753,0.016239,0.0162454
76R,0.0309805,0.0309825,0.172739,0.172809,0.172133,0.172116,0.179344,0.179384,0.0127376,0.0127385,0.173142,0.173177,0.0265851,0.0265813,0.182484,0.182462,0.0318911,0.0318597,0.35408,0.35408,0.355722,0.355722,0.152651,0.152561,0.031357,0.0313585,0.0326517,0.0326464,0.0320927,0.0320865,0.174881,0.175009,0.35408,0.35408,0.026541,0.0265313,0.359186,0.359186,0.032086,0.0321125,0.0320917,0.0321026,0.186549,0.186572,0.355722,0.355722,0.0139488,0.0139501,0.362921,0.362921,0.0320938,0.0320907,0.0323826,0.0323816,0.187211,0.187211,8.056e-05,8.798e-05,0.0321831,0.0321816,0.0,4.769e-05,0.183155,0.183199,0.0321176,0.0321327
76S,0.0309795,0.0309815,0.172722,0.172792,0.172116,0.172098,0.179324,0.179364,0.0127295,0.0127354,0.17316,0.173124,0.0265809,0.0265766,0.182462,0.182441,0.0318881,0.0318567,0.35408,0.35408,0.355722,0.355722,0.152617,0.152527,0.0313575,0.0313514,0.0326464,0.0326464,0.0320922,0.032087,0.174917,0.175027,0.35408,0.35408,0.0265372,0.0265266,0.359186,0.359186,0.0320865,0.0321088,0.0320943,0.0321016,0.186549,0.186549,0.355722,0.355722,0.0139453,0.0139488,0.362921,0.362921,0.0320927,0.0320896,0.032379,0.0323832,0.187187,0.187187,8.008e-05,8.846e-05,0.0321857,0.0321837,4.769e-05,0.0,0.183112,0.183177,0.0321171,0.0321291
80R,0.183815,0.183837,0.178075,0.178055,0.113503,0.113521,0.112166,0.112179,0.182873,0.182981,0.179465,0.179445,0.184215,0.184215,0.0993955,0.0993651,0.183046,0.183025,0.34947,0.34947,0.348027,0.348027,0.169718,0.169571,0.184394,0.184349,0.184844,0.184844,0.184957,0.18498,0.178666,0.178646,0.34947,0.34947,0.183352,0.183352,0.347322,0.347322,0.184461,0.184483,0.182873,0.182851,0.176687,0.176649,0.345267,0.345267,0.182548,0.182591,0.345942,0.345942,0.185003,0.185003,0.184889,0.184889,0.176801,0.176763,0.183155,0.183155,0.184708,0.184708,0.183155,0.183112,0.0,9.109e-05,0.184237,0.184215
80S,0.183837,0.183881,0.178055,0.178055,0.113503,0.113531,0.112161,0.112188,0.182916,0.183046,0.179445,0.179425,0.184259,0.184259,0.0993617,0.0993482,0.18309,0.183025,0.34947,0.34947,0.348027,0.348027,0.169734,0.169604,0.184438,0.184394,0.184889,0.184889,0.185003,0.185025,0.178646,0.178646,0.34947,0.34947,0.183374,0.183396,0.347322,0.347322,0.184483,0.184506,0.182916,0.182894,0.176668,0.17663,0.345267,0.345267,0.182613,0.182656,0.345942,0.345942,0.185048,0.185048,0.184935,0.184935,0.17682,0.176782,0.183199,0.183199,0.184731,0.184753,0.183199,0.183177,9.109e-05,0.0,0.184282,0.184237
87R,0.0132757,0.0132765,0.175248,0.175266,0.181085,0.181065,0.180732,0.180794,0.0325582,0.0325287,0.176196,0.176177,0.0306115,0.0306179,0.183243,0.183199,0.014456,0.0144265,0.359186,0.359186,0.363903,0.363903,0.140121,0.140009,0.0022571,0.00225204,0.0162348,0.0162318,0.0157473,0.015737,0.175617,0.175878,0.359186,0.359186,0.0311285,0.0311074,0.36196,0.36196,0.00286716,0.0028948,0.0152047,0.0152124,0.188465,0.188441,0.357422,0.357422,0.034061,0.0340543,0.363903,0.363903,0.0157446,0.0157386,0.015636,0.0156357,0.187858,0.187882,0.032167,0.0321748,0.016246,0.016239,0.0321176,0.0321171,0.184237,0.184282,0.0,7.853e-05
87S,0.0132833,0.0132787,0.175395,0.175414,0.181085,0.181065,0.180711,0.180753,0.0325767,0.0325435,0.176347,0.176309,0.0306307,0.0306257,0.183265,0.183221,0.0144529,0.0144277,0.359186,0.359186,0.363903,0.363903,0.140189,0.140061,0.00226256,0.00225327,0.0162362,0.0162337,0.0157509,0.0157405,0.175785,0.176027,0.359186,0.359186,0.0311345,0.0311199,0.36196,0.36196,0.00287155,0.00289735,0.0152076,0.0152114,0.188539,0.18849,0.357422,0.357422,0.0340665,0.0340671,0.363903,0.363903,0.0157498,0.0157424,0.015633,0.015639,0.18793,0.18793,0.0321821,0.0321863,0.0162409,0.0162454,0.0321327,0.0321291,0.184215,0.184237,7.853e-05,0.0
